Stale IP,Frequency (encountered in YoDNS search)
194.69.254.7,6
80.64.9.124,5
177.11.62.34,8
185.174.20.170,3
209.213.72.9,2
64.4.48.4,4
108.59.162.144,32
142.44.240.185,8
129.66.20.4,2
74.117.219.4,2
195.70.37.148,2
52.252.154.137,3
89.251.8.234,1
103.14.122.80,6
103.14.121.80,6
94.176.2.56,6
198.32.67.9,378
141.95.65.136,993
108.59.164.144,32
40.90.4.8,3
134.95.100.209,169
80.88.90.245,1
217.218.59.14,57
205.213.163.100,3
51.75.74.0,4
162.159.8.58,12
162.159.10.67,17
162.159.9.215,10
200.14.207.210,9
209.11.243.91,2
212.112.165.178,69
185.53.179.130,8
120.92.120.142,157
120.92.156.153,37
43.250.35.80,211
185.100.84.36,12
210.73.44.1,3
18.190.44.139,36
3.139.183.150,36
3.23.227.207,36
207.45.160.11,3
192.115.106.11,5
216.150.131.197,3
81.223.243.34,3
186.226.112.14,2
3.13.5.56,36
18.189.133.24,36
3.132.188.189,36
37.139.24.183,3
200.1.123.7,11
207.58.142.235,2
10.1.106.80,2
162.214.201.22,2
104.130.28.91,8
85.25.172.75,6
205.251.152.173,12
217.170.201.210,12
103.149.209.2,1
156.251.1.29,2
156.251.1.5,2
156.251.1.1,2
156.251.1.21,2
119.46.218.201,3
13.107.160.1,2
65.22.82.1,160
199.87.230.74,2
62.173.140.168,2
206.196.128.12,4
198.251.81.116,2
120.89.92.29,2
66.55.82.132,16
164.128.36.34,7
200.36.106.17,3
208.80.126.13,8129
194.90.0.1,2
173.255.194.38,80
185.206.123.15,14
20.20.20.164,1
82.146.43.42,20
162.215.219.136,6
208.71.107.81,10
188.120.251.104,2
45.115.220.166,2
65.22.69.33,10
96.255.255.2,4
103.209.145.47,1
162.215.130.82,2
209.141.37.148,4
81.196.152.62,36
10.0.0.31,16
91.217.20.1,85
116.206.80.58,24
54.201.63.99,24
91.217.21.1,85
65.22.81.1,160
50.152.203.134,3
185.206.123.20,14
156.251.1.40,2
156.251.1.60,2
156.251.1.55,2
81.91.178.50,55
185.156.217.203,16
162.159.8.192,11
162.159.9.208,284
