Stale IP,Frequency (encountered in YoDNS search)
23.111.157.90,6
13.107.24.208,1
37.153.159.12,44
69.16.232.214,8
13.107.24.6,2
162.214.129.93,2
104.249.62.109,8
192.100.194.6,3
178.32.164.176,3
38.210.212.36,3
162.215.212.208,24
23.94.156.253,8
108.59.162.144,24
65.22.83.1,168
199.187.211.48,1
13.107.160.8,2
14.96.44.46,4
103.150.191.30,3
162.240.101.243,6
162.214.78.30,2
192.168.24.31,12
185.41.71.96,8
15.235.37.115,2
64.4.48.6,2
212.37.22.171,2
178.63.189.38,16
193.193.193.93,8
194.50.187.172,2
95.169.182.236,2
118.175.15.61,3
10.128.30.2,2
212.112.165.178,17
185.90.240.3,5
87.118.118.155,6
74.63.251.188,1
40.90.4.208,6
212.66.37.52,3
193.178.236.131,3
77.92.89.142,4
172.29.253.203,2
217.71.231.4,3
188.225.87.215,3
209.213.72.9,2
50.28.60.43,64
184.171.243.3,4
123.123.123.124,2
161.248.223.39,4
164.128.36.34,6
185.90.240.218,45
198.61.57.70,4
108.59.1.30,1
51.81.59.45,8
162.215.11.3,2
104.207.143.253,6
217.70.177.40,3
157.90.131.168,8
207.226.173.74,2
205.171.14.195,3
210.245.120.10,1
216.255.240.26,5
216.255.242.66,7
72.52.158.7,8
13.107.160.6,2
127.0.0.1,70
135.181.183.42,2
45.10.148.4,4
192.185.163.240,4
172.232.226.146,4
10.0.0.3,2
38.103.114.175,4
162.215.133.191,12
159.69.83.207,81
95.216.161.60,81
159.69.186.9,81
159.69.42.212,81
185.34.216.121,9
142.132.252.40,6
69.6.234.211,8
101.99.81.113,4
162.215.13.175,6
168.187.100.84,42
209.126.125.13,40
92.205.166.175,3
185.145.252.60,6
94.237.41.222,2
95.169.183.236,2
68.171.211.65,2
207.244.246.76,10
196.203.63.52,6
82.146.43.42,36
178.33.119.2,6
89.252.190.91,4
146.222.120.11,3
185.129.169.163,1
195.130.132.17,1
104.130.28.91,2
211.115.80.184,2
194.63.143.190,4
40.90.4.8,2
103.144.33.145,6
201.140.115.140,1
200.77.234.101,1
37.187.158.211,3
168.231.72.85,9
10.128.15.208,1
195.228.155.191,2
161.97.156.154,4
77.41.185.84,2
94.130.73.221,4
