Stale IP,Frequency (encountered in YoDNS search)
194.69.254.7,6
80.64.9.124,5
177.11.62.34,8
185.174.20.170,6
209.213.72.9,4
64.4.48.4,6
108.59.162.144,92
142.44.240.185,8
129.66.20.4,4
74.117.219.4,4
195.70.37.148,2
52.252.154.137,3
89.251.8.234,5
103.14.122.80,12
103.14.121.80,12
94.176.2.56,6
198.32.67.9,1488
141.95.65.136,3032
108.59.164.144,92
40.90.4.8,8
134.95.100.209,169
80.88.90.245,1
217.218.59.14,57
205.213.163.100,10
51.75.74.0,4
162.159.8.58,42
162.159.10.67,47
162.159.9.215,40
200.14.207.210,12
209.11.243.91,2
212.112.165.178,131
185.53.179.130,96
120.92.120.142,157
120.92.156.153,37
43.250.35.80,211
185.100.84.36,68
210.73.44.1,6
18.190.44.139,36
3.139.183.150,36
3.23.227.207,36
207.45.160.11,8
192.115.106.11,5
216.150.131.197,8
81.223.243.34,6
186.226.112.14,4
3.13.5.56,36
18.189.133.24,36
3.132.188.189,36
37.139.24.183,9
200.1.123.7,12
207.58.142.235,2
10.1.106.80,2
162.214.201.22,4
104.130.28.91,18
85.25.172.75,6
205.251.152.173,12
217.170.201.210,12
103.149.209.2,1
156.251.1.29,2
156.251.1.5,2
156.251.1.1,2
156.251.1.21,2
119.46.218.201,15
13.107.160.1,2
65.22.82.1,656
199.87.230.74,2
62.173.140.168,4
206.196.128.12,4
198.251.81.116,3
120.89.92.29,3
66.55.82.132,48
164.128.36.34,24
200.36.106.17,6
208.80.126.13,8129
194.90.0.1,2
173.255.194.38,212
185.206.123.15,84
20.20.20.164,1
82.146.43.42,139
162.215.219.136,6
208.71.107.81,10
188.120.251.104,8
45.115.220.166,2
65.22.69.33,14
96.255.255.2,4
103.209.145.47,2
162.215.130.82,2
209.141.37.148,4
81.196.152.62,36
10.0.0.31,16
91.217.20.1,146
116.206.80.58,224
54.201.63.99,24
91.217.21.1,158
65.22.81.1,656
50.152.203.134,6
185.206.123.20,84
156.251.1.40,2
156.251.1.60,2
156.251.1.55,2
81.91.178.50,623
185.156.217.203,16
162.159.8.192,19
162.159.9.208,484
