tranco_rank,root_domain,discovered_name,dns_status,answer_type,resolved_value
304882,ajr.org,www.ajr.org,NOERROR,A,208.91.197.132
718546,sicoobconsorcios.com.br,nameserver03.sicoobconsorcios.com.br,NOERROR,A,189.74.157.251
718546,sicoobconsorcios.com.br,nameserver05.sicoobconsorcios.com.br,NOERROR,A,177.53.249.250
718546,sicoobconsorcios.com.br,www.sicoobconsorcios.com.br,NOERROR,A,177.53.251.34
718546,sicoobconsorcios.com.br,nameserver06.sicoobconsorcios.com.br,NOERROR,A,177.53.253.250
718546,sicoobconsorcios.com.br,nameserver01.sicoobconsorcios.com.br,NOERROR,A,187.72.5.251
718546,sicoobconsorcios.com.br,webatendimento.sicoobconsorcios.com.br,NOERROR,A,177.53.251.109
718546,sicoobconsorcios.com.br,nameserver02.sicoobconsorcios.com.br,NOERROR,A,177.53.251.250
718546,sicoobconsorcios.com.br,nameserver04.sicoobconsorcios.com.br,NOERROR,A,187.4.128.190
953722,rocher-malendure.com,www.rocher-malendure.com,NOERROR,A,172.67.178.51
717312,rolexsydneyhobart.com,www.rolexsydneyhobart.com,NOERROR,A,108.138.128.68
840963,xn--porn-tqa.net,www.xn--porn-tqa.net,NOERROR,A,162.19.177.166
890594,goldengrand.ch,promo.goldengrand.ch,NOERROR,A,94.126.22.22
890594,goldengrand.ch,help.goldengrand.ch,NOERROR,CNAME,goldengrand.zendesk.com.
890594,goldengrand.ch,dev.goldengrand.ch,NOERROR,A,40.127.202.186
890594,goldengrand.ch,advent.goldengrand.ch,NOERROR,A,104.26.5.74
890594,goldengrand.ch,www.goldengrand.ch,NOERROR,CNAME,goldengrand.ch.
890594,goldengrand.ch,shop.goldengrand.ch,NOERROR,A,94.126.22.22
890594,goldengrand.ch,collect.goldengrand.ch,NOERROR,A,216.239.36.21
890594,goldengrand.ch,crowd.goldengrand.ch,NOERROR,A,51.103.137.146
933231,green-tag.io,api-green-tag.green-tag.io,NOERROR,A,54.90.239.239
933231,green-tag.io,api-bff.green-tag.io,NOERROR,A,54.90.239.239
933231,green-tag.io,api-green-list.green-tag.io,NOERROR,A,54.90.239.239
933231,green-tag.io,app.green-tag.io,NOERROR,CNAME,d21dom1hwo5why.cloudfront.net.
