tranco_rank,root_domain,discovered_name,dns_status,answer_type,resolved_value
304882,ajr.org,www.ajr.org,NOERROR,A,208.91.197.132
718546,sicoobconsorcios.com.br,webatendimento.sicoobconsorcios.com.br,NOERROR,A,177.53.251.109
718546,sicoobconsorcios.com.br,www.sicoobconsorcios.com.br,NOERROR,A,177.53.251.34
953722,rocher-malendure.com,www.rocher-malendure.com,NOERROR,A,104.21.17.193
717312,rolexsydneyhobart.com,www.rolexsydneyhobart.com,NOERROR,A,108.138.128.18
840963,xn--porn-tqa.net,www.xn--porn-tqa.net,NOERROR,A,162.19.177.166
890594,goldengrand.ch,promo.goldengrand.ch,NOERROR,A,94.126.22.22
890594,goldengrand.ch,collect.goldengrand.ch,NOERROR,A,216.239.36.21
890594,goldengrand.ch,dev.goldengrand.ch,NOERROR,A,40.127.202.186
890594,goldengrand.ch,shop.goldengrand.ch,NOERROR,A,94.126.22.22
890594,goldengrand.ch,crowd.goldengrand.ch,NOERROR,A,51.103.137.146
890594,goldengrand.ch,advent.goldengrand.ch,NOERROR,A,104.26.4.74
890594,goldengrand.ch,help.goldengrand.ch,NOERROR,CNAME,goldengrand.zendesk.com
890594,goldengrand.ch,www.goldengrand.ch,NOERROR,CNAME,goldengrand.ch
933231,green-tag.io,api-bff.green-tag.io,NOERROR,A,54.90.239.239
933231,green-tag.io,api-green-list.green-tag.io,NOERROR,A,54.90.239.239
933231,green-tag.io,dash.green-tag.io,NOERROR,CNAME,d3kacie3x2f9ew.cloudfront.net
933231,green-tag.io,app.green-tag.io,NOERROR,CNAME,d21dom1hwo5why.cloudfront.net
933231,green-tag.io,api-green-tag.green-tag.io,NOERROR,A,54.90.239.239
194746,amag.ch,winterthur.amag.ch,NOERROR,CNAME,amag-prod.adobecqms.net
194746,amag.ch,giubiasco.amag.ch,NOERROR,CNAME,amag-prod.adobecqms.net
194746,amag.ch,ida.dev.amag.ch,NOERROR,CNAME,ida.dev.amag.ch.test.amcs-nw.ch
194746,amag.ch,audiiceexperienceagb.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.esafxamag.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,occasions.geneve.amag.ch,NOERROR,A,52.210.215.239
194746,amag.ch,www.tickets02-042025.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.elroqmitar.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,8464-1f4b.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.hqryhbqt.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,dealersearch.t01.amag.ch,NOERROR,CNAME,t01.amag.ch
194746,amag.ch,www.neujahrsempfang.vipevent.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.e077-4d7f.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,sst.amag.ch,NOERROR,CNAME,p01.amcs-ms.ch.azprod.amcs-nw.ch
194746,amag.ch,tzdofhbw.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,rmrbgxdv.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,newsletter.fleet.amag.ch,NOERROR,A,193.14.90.203
194746,amag.ch,www.vipevent.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,session.2025.bern.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,itservices.t01.amag.ch,NOERROR,CNAME,t01.amag.ch
194746,amag.ch,www.fmf2024.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,events.skoda.ch.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.begleitpersonpackage.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,editionswiss-ski.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,betriebseinrichtungen-dev.amag.ch,NOERROR,A,193.14.90.203
194746,amag.ch,itgeolocationservice.t01.amag.ch,NOERROR,CNAME,t01.amag.ch
194746,amag.ch,www.danke.leadersession.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,testforms.amag.ch,NOERROR,CNAME,testforms.amag.ch.test.amcs-nw.ch
194746,amag.ch,www.893f-e66f.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,workshopvwnewtransporter.events.amag.ch,NOERROR,CNAME,evenito.site
683682,deleondental.com,cpcalendars.deleondental.com,NOERROR,A,104.21.66.9
683682,deleondental.com,www.deleondental.com,NOERROR,A,172.67.154.121
683682,deleondental.com,mail.deleondental.com,NOERROR,A,104.21.66.9
683682,deleondental.com,webmail.deleondental.com,NOERROR,A,172.67.154.121
683682,deleondental.com,cpanel.deleondental.com,NOERROR,A,104.21.66.9
683682,deleondental.com,webdisk.deleondental.com,NOERROR,A,104.21.66.9
683682,deleondental.com,autodiscover.deleondental.com,NOERROR,A,104.21.66.9
683682,deleondental.com,www.tr.deleondental.com,NOERROR,A,172.67.154.121
683682,deleondental.com,cpcontacts.deleondental.com,NOERROR,A,104.21.66.9
683682,deleondental.com,tr.deleondental.com,NOERROR,A,104.21.66.9
241759,9mbr.com,validate.9mbr.com,NOERROR,A,103.5.47.170
241759,9mbr.com,kdnimg.9mbr.com,NOERROR,A,103.249.161.69
241759,9mbr.com,email-portal-dev.9mbr.com,NOERROR,A,103.249.161.69
241759,9mbr.com,images-int.9mbr.com,NOERROR,A,103.249.161.69
241759,9mbr.com,images.9mbr.com,NOERROR,A,103.249.161.69
241759,9mbr.com,socket-go.9mbr.com,NOERROR,A,103.249.162.16
241759,9mbr.com,picsur.9mbr.com,NOERROR,A,103.249.161.69
241759,9mbr.com,email-portal.9mbr.com,NOERROR,A,103.249.161.69
698547,macapp.cc,2013liuqianmoshujiemi.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,gubaoyouxitouzhu.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,taojin.360.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,aoyunhuizuqiuzhibo.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,naikeguanfang.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,aomenduchangbaijialexinde.af.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,malaixiyaduchangguanfangwang.ae.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,aomenduchangyouchuqianma.news.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,huangjiaduchang.360.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,xiangdaoweibo.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,vvdoudizhu.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,zuqiuxianjintouzhuwang.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,tigaoduyunzuihaodebanfa.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,xunleiwangyoujiasuqi.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,wanghaoshipin.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,xiaomagejiaonidataiqiu.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,heizidelanqiuguoyuban.baidu.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,haoyunfabocaiwang.360.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,miandianguoganduchang.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,xianjinqipaidubowangzhan.360.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,bocaitaolun.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,pukewangguoyu.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,wanhaoguojitouzhuzhan.baidu.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,zhenqianyouxiwangzhan.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,aomenduchangchuqianmeirenguan.ac.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,wanbaoduchang.ac.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,wangshangduqiuruanjian.baidu.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,888bocai.360.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,tiqiuwangjishibifensaiguo.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,xinaomenduchangbaijialeshipin.bbs.macapp.cc,NOERROR,A,157.90.33.74
154309,m-i.kr,m.m-i.kr,NOERROR,A,121.125.77.237
154309,m-i.kr,sfgysl.m-i.kr,NOERROR,CNAME,s.dnsdelegation.io
154309,m-i.kr,www.m-i.kr,NOERROR,A,121.125.77.237
154309,m-i.kr,mail.m-i.kr,NOERROR,CNAME,wm01.mailplug.com
154309,m-i.kr,cdn.m-i.kr,NOERROR,CNAME,ndsoft01.ecn.cdn.infralab.net
911455,matten.center,www.matten.center,NOERROR,A,162.159.135.42
236101,vocaloid.com,api-net.vocaloid.com,NOERROR,CNAME,vcs-api-1534180655.ap-northeast-1.elb.amazonaws.com
236101,vocaloid.com,vcs-dev2-alb.vocaloid.com,NOERROR,CNAME,vcs-dl-dev2-alb-202305-353097221.ap-northeast-1.elb.amazonaws.com
236101,vocaloid.com,dev-net-alb.vocaloid.com,NOERROR,CNAME,vcs-security-alb-2137347594.ap-northeast-1.elb.amazonaws.com
236101,vocaloid.com,admin-net.vocaloid.com,NOERROR,CNAME,vcs-admin-1468648130.ap-northeast-1.elb.amazonaws.com
236101,vocaloid.com,vcs-dev2.vocaloid.com,NOERROR,CNAME,d110kzyzm4rkrr.cloudfront.net
236101,vocaloid.com,net.vocaloid.com,NOERROR,CNAME,vcs-web-364978039.ap-northeast-1.elb.amazonaws.com
236101,vocaloid.com,vcs-dev1-alb.vocaloid.com,NOERROR,CNAME,vcs-dl-dev-upgrade-alb-849898034.ap-northeast-1.elb.amazonaws.com
236101,vocaloid.com,rsc-net.vocaloid.com,NOERROR,A,13.33.67.67
236101,vocaloid.com,www-alb.vocaloid.com,NOERROR,CNAME,vcs-subdomain-alb-413228499.ap-northeast-1.elb.amazonaws.com
236101,vocaloid.com,devapi-net.vocaloid.com,NOERROR,CNAME,vcs-security-api-813567978.ap-northeast-1.elb.amazonaws.com
236101,vocaloid.com,vcs-dev1.vocaloid.com,NOERROR,CNAME,dxn4halozm3fp.cloudfront.net
236101,vocaloid.com,www.vocaloid.com,NOERROR,CNAME,d2d1pbdkm53nop.cloudfront.net
236101,vocaloid.com,dev-net.vocaloid.com,NOERROR,CNAME,d3gnc4tkx4fj3q.cloudfront.net
769680,cocinatop.com,promo.cocinatop.com,NOERROR,A,18.238.49.109
769680,cocinatop.com,www.cocinatop.com,NOERROR,A,13.35.93.17
769680,cocinatop.com,yoirecetasnavidad.cocinatop.com,NOERROR,A,13.32.241.98
769680,cocinatop.com,home.cocinatop.com,NOERROR,A,18.164.124.17
769680,cocinatop.com,yoirecetasdiarias.cocinatop.com,NOERROR,A,13.33.67.117
769680,cocinatop.com,yoirosconreyes.cocinatop.com,NOERROR,A,99.84.234.94
769680,cocinatop.com,site.cocinatop.com,NOERROR,CNAME,d31mxaoqcmjyi1.cloudfront.net
196477,freshxxxflash.com,www.freshxxxflash.com,NOERROR,A,185.213.91.10
136539,airtime2cash.com,www.portal.airtime2cash.com,NOERROR,A,198.54.116.119
136539,airtime2cash.com,mail.airtime2cash.com,NOERROR,A,198.54.116.119
136539,airtime2cash.com,api.airtime2cash.com,NOERROR,A,159.198.43.199
136539,airtime2cash.com,xxapi.airtime2cash.com,NOERROR,A,159.198.43.199
136539,airtime2cash.com,safe.airtime2cash.com,NOERROR,A,198.54.116.119
136539,airtime2cash.com,www.safe.airtime2cash.com,NOERROR,A,198.54.116.119
136539,airtime2cash.com,pay.airtime2cash.com,NOERROR,A,153.92.9.236
136539,airtime2cash.com,portal.airtime2cash.com,NOERROR,A,198.54.116.119
136539,airtime2cash.com,xapi.airtime2cash.com,NOERROR,A,159.198.43.199
136539,airtime2cash.com,www.app.airtime2cash.com,NOERROR,A,198.54.116.119
136539,airtime2cash.com,www.pay.airtime2cash.com,NOERROR,CNAME,pay.airtime2cash.com
136539,airtime2cash.com,app.airtime2cash.com,NOERROR,CNAME,airtime2cashpro.onrender.com
136539,airtime2cash.com,www.airtime2cash.com,NOERROR,CNAME,airtime2cash.com
74268,vprognoze.ru,mail.vprognoze.ru,NOERROR,A,5.182.227.251
74268,vprognoze.ru,srv121.vprognoze.ru,NOERROR,A,5.182.227.251
74268,vprognoze.ru,promoratings.vprognoze.ru,NOERROR,A,172.67.184.95
74268,vprognoze.ru,analytics.vprognoze.ru,NOERROR,A,5.182.227.252
557124,dante-research.com,logger.dante-research.com,NOERROR,A,85.239.39.21
557124,dante-research.com,www.edu.dante-research.com,NOERROR,A,176.57.65.121
557124,dante-research.com,partners.dante-research.com,NOERROR,A,77.222.40.170
557124,dante-research.com,cdn.dante-research.com,NOERROR,A,77.222.40.170
557124,dante-research.com,adv.dante-research.com,NOERROR,A,77.222.40.170
557124,dante-research.com,rotator.dante-research.com,NOERROR,A,92.53.97.192
557124,dante-research.com,www.rotator.dante-research.com,NOERROR,A,92.53.97.192
557124,dante-research.com,www.ads.dante-research.com,NOERROR,A,188.225.74.72
557124,dante-research.com,www.test-calls.dante-research.com,NOERROR,A,188.225.74.72
557124,dante-research.com,edu.dante-research.com,NOERROR,A,176.57.65.121
557124,dante-research.com,www.logger.dante-research.com,NOERROR,A,85.239.39.21
557124,dante-research.com,test-calls.dante-research.com,NOERROR,A,188.225.74.72
557124,dante-research.com,ads.dante-research.com,NOERROR,A,188.225.74.72
