tranco_rank,root_domain,discovered_name,dns_status,answer_type,resolved_value
78427,mrbilit.com,devstatic.mrbilit.com,NXDOMAIN,NONE,
78427,mrbilit.com,static.mrbilit.com,NXDOMAIN,NONE,
428224,aelia.pl,www.mail.aelia.pl,NXDOMAIN,NONE,
428224,aelia.pl,events.aelia.pl,NXDOMAIN,NONE,
428224,aelia.pl,konkurs.aelia.pl,NXDOMAIN,NONE,
428224,aelia.pl,www.konkurs.aelia.pl,NXDOMAIN,NONE,
428224,aelia.pl,adminkonkurs.aelia.pl,NXDOMAIN,NONE,
428224,aelia.pl,www.adminkonkurs.aelia.pl,NXDOMAIN,NONE,
490354,brothiz.com,www.brothiz.com,NXDOMAIN,NONE,
435467,donio.sk,office.donio.sk,NXDOMAIN,NONE,
435467,donio.sk,www.office.donio.sk,NXDOMAIN,NONE,
435467,donio.sk,www.mail.donio.sk,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-008.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,cdn.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,cdn.novel.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-001.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-010.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-003.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,api06.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,oms-backend.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-007.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-002.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,api03.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-006.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-004.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,api05.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,admin-backend.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,shortdramas.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,cdn.shortdrama.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-005.broadsolutionsgroup.com,NXDOMAIN,NONE,
279813,broadsolutionsgroup.com,adsense-009.broadsolutionsgroup.com,NXDOMAIN,NONE,
932475,comite21.org,www.paysdelaloire.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,smtp.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,grandouest.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,boiteaoutils.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,crm-staging.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,www.agenda21.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,crm-develop.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,mail.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,agenda21.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,paysdelaloire.comite21.org,NXDOMAIN,NONE,
932475,comite21.org,new.www.comite21.org,NXDOMAIN,NONE,
213652,ae.gov.ma,www.rn.ae.gov.ma,NXDOMAIN,NONE,
675073,coastalha.co.uk,autodiscover.coastalha.co.uk,NXDOMAIN,NONE,
675073,coastalha.co.uk,owa.coastalha.co.uk,NXDOMAIN,NONE,
675073,coastalha.co.uk,webmail.coastalha.co.uk,NXDOMAIN,NONE,
675073,coastalha.co.uk,ex01.coastalha.co.uk,NXDOMAIN,NONE,
675073,coastalha.co.uk,my.coastalha.co.uk,NOERROR,NOANSWER,
675073,coastalha.co.uk,ex02.coastalha.co.uk,NXDOMAIN,NONE,
41672,usahockey.com,www.membership.usahockey.com,NXDOMAIN,NONE,
41672,usahockey.com,www.prodtest-tryhockeyforfree.usahockey.com,NOERROR,NOANSWER,
185358,jobinrwanda.com,mail.surveys.jobinrwanda.com,NXDOMAIN,NONE,
185358,jobinrwanda.com,api.mtargetsms.jobinrwanda.com,NXDOMAIN,NONE,
