tranco_rank,root_domain,discovered_name,dns_status,answer_type,resolved_value
953722,rocher-malendure.com,cpcalendars.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,sitemaps.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,m.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,webdisk.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,webmail.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,cpcontacts.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,cpanel.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,mail.rocher-malendure.com,NXDOMAIN,NONE,
236101,vocaloid.com,vcs-dl-security-alb.vocaloid.com,NXDOMAIN,NONE,
236101,vocaloid.com,business.vocaloid.com,NXDOMAIN,NONE,
769680,cocinatop.com,baja.cocinatop.com,NXDOMAIN,NONE,
136539,airtime2cash.com,www.pro.airtime2cash.com,NXDOMAIN,NONE,
136539,airtime2cash.com,new.airtime2cash.com,NXDOMAIN,NONE,
136539,airtime2cash.com,www.cash.airtime2cash.com,NXDOMAIN,NONE,
136539,airtime2cash.com,cash.airtime2cash.com,NXDOMAIN,NONE,
74268,vprognoze.ru,surebets.vprognoze.ru,NXDOMAIN,NONE,
74268,vprognoze.ru,autodiscover.vprognoze.ru,NXDOMAIN,NONE,
74268,vprognoze.ru,relay.vprognoze.ru,NXDOMAIN,NONE,
74268,vprognoze.ru,owa.vprognoze.ru,NXDOMAIN,NONE,
886876,riseagainsthunger.org,www.events.riseagainsthunger.org,NXDOMAIN,NONE,
886876,riseagainsthunger.org,www.sslvpneast.riseagainsthunger.org,NXDOMAIN,NONE,
224299,rcoko18.ru,collabora.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,mail.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,www.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,remote.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,test.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,pn1.it.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,vks-moodle.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,chat.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,zabbix.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,servers.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,cloud.rcoko18.ru,NXDOMAIN,NONE,
913609,omidbank.ir,pwa.omidbank.ir,SERVFAIL,NONE,
845202,simplifier.cloud,mann-schroeder-additional.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,terraform-enhancement-dev.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,suedzucker-temp-qa.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,atlantis.simplifier.cloud,NXDOMAIN,NONE,
275200,yellowpages.my,api.staging.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,solutions.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,assets.staging.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,ypmanager.staging.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,staging.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,dms.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,blog.staging.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,advertiser.staging.yellowpages.my,NXDOMAIN,NONE,
472977,ippodotea.com,checkout.ippodotea.com,NXDOMAIN,NONE,
472977,ippodotea.com,www.ss.ippodotea.com,NXDOMAIN,NONE,
472977,ippodotea.com,ss.ippodotea.com,NXDOMAIN,NONE,
780928,focuslogicsocialclub.com,mail.focuslogicsocialclub.com,NXDOMAIN,NONE,
780928,focuslogicsocialclub.com,webmail.focuslogicsocialclub.com,NXDOMAIN,NONE,
780928,focuslogicsocialclub.com,cpcalendars.focuslogicsocialclub.com,NXDOMAIN,NONE,
780928,focuslogicsocialclub.com,cpcontacts.focuslogicsocialclub.com,NXDOMAIN,NONE,
780928,focuslogicsocialclub.com,ftp.focuslogicsocialclub.com,NXDOMAIN,NONE,
780928,focuslogicsocialclub.com,webdisk.focuslogicsocialclub.com,NXDOMAIN,NONE,
780928,focuslogicsocialclub.com,cpanel.focuslogicsocialclub.com,NXDOMAIN,NONE,
146284,haya-tech.com,mail.haya-tech.com,SERVFAIL,NONE,
146284,haya-tech.com,www.haya-tech.com,SERVFAIL,NONE,
146284,haya-tech.com,www.idp.haya-tech.com,SERVFAIL,NONE,
146284,haya-tech.com,idp.haya-tech.com,SERVFAIL,NONE,
146284,haya-tech.com,ns2.haya-tech.com,SERVFAIL,NONE,
146284,haya-tech.com,ns1.haya-tech.com,SERVFAIL,NONE,
832329,tkquiz.in,ksia.tkquiz.in,NXDOMAIN,NONE,
832329,tkquiz.in,ksicard.tkquiz.in,NXDOMAIN,NONE,
269178,expodat.com,congress-rmapo-dds.expodat.com,NXDOMAIN,NONE,
269178,expodat.com,congress-rmapo.expodat.com,NXDOMAIN,NONE,
373018,idsjmk.cz,dopravci.idsjmk.cz,NOERROR,NOANSWER,
373018,idsjmk.cz,tigr.idsjmk.cz,NOERROR,NOANSWER,
891226,remixdesign.app,launchboard.remixdesign.app,NXDOMAIN,NONE,
891226,remixdesign.app,somno-privacy.remixdesign.app,NXDOMAIN,NONE,
891226,remixdesign.app,launchos.remixdesign.app,NXDOMAIN,NONE,
891226,remixdesign.app,licenses.remixdesign.app,NXDOMAIN,NONE,
891226,remixdesign.app,doc.dev.remixdesign.app,NXDOMAIN,NONE,
245396,cdn-rs.com,ore-media.cdn-rs.com,NXDOMAIN,NONE,
450445,slotgroup.de,update.slotgroup.de,NOERROR,NOANSWER,
703310,andind2022.com,www.andind2022.com,NOERROR,NOANSWER,
329003,cloudpillo.com,1pxu8.cloudpillo.com,NXDOMAIN,NONE,
687082,uwahost.com,mail.host.uwahost.com,NOERROR,NOANSWER,
687082,uwahost.com,www.host.uwahost.com,NOERROR,NOANSWER,
