tranco_rank,root_domain,discovered_name,dns_status,answer_type,resolved_value
953722,rocher-malendure.com,m.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,cpcontacts.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,webdisk.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,cpanel.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,cpcalendars.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,mail.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,webmail.rocher-malendure.com,NXDOMAIN,NONE,
953722,rocher-malendure.com,sitemaps.rocher-malendure.com,NXDOMAIN,NONE,
194746,amag.ch,nexus-iq.amag.ch,NXDOMAIN,NONE,
194746,amag.ch,www.c943-37cb.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,audixstoecklitickethandelit.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.768e-5514.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.rs5be.vipevent.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,ad12-cfa1.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,poc-sandbox-ci.t01.amag.ch,NOERROR,CNAME,t01.amag.ch
194746,amag.ch,aqcdomainimperial.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.ticketing-event.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,c9f1-8f29.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,uc24.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,residualvalue-core.p01.amag.ch,NOERROR,CNAME,p01.amag.ch
194746,amag.ch,aesdecrypter.t01.amag.ch,NOERROR,CNAME,t01.amag.ch
194746,amag.ch,zkoxgotthard.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,tickaudixstoecklihandelde.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.cupra-helion.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,anmeldungwintertestdrivedavos.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,api.dss.amag.ch,NOERROR,CNAME,api.dss.amag.ch.prod.amcs-nw.ch
194746,amag.ch,www.afvsignu.amaglive.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,amagfleetcompact24newsletter.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,4d16-2a6b.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,www.schulungsevent.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,test-nexus-iq.t01.amag.ch,NOERROR,CNAME,t01.amag.ch
194746,amag.ch,admin-test.amag.ch,NOERROR,A,193.14.90.203
194746,amag.ch,www.cupra-ticketing.events.amag.ch,NOERROR,CNAME,evenito.site
194746,amag.ch,swc1.qas.amag.ch,NOERROR,CNAME,swc1.qas.amag.ch.test.amcs-nw.ch
194746,amag.ch,www.nutzfahrzeuge.uster.amag.ch,NOERROR,CNAME,amag.spectra.io
194746,amag.ch,www.liestal.amag.ch,NOERROR,CNAME,amag.spectra.io
194746,amag.ch,www.baden.amag.ch,NOERROR,CNAME,amag.spectra.io
194746,amag.ch,www.carouge.amag.ch,NOERROR,CNAME,amag.spectra.io
698547,macapp.cc,007zhihuangjiaduchanggaoqing.ab.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,duwangdouduhouguoyu.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,daoaomenqudubozuidiyaodaiduoshaoqian.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,waiwei365.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,4399zhongguoxiangqicanju35.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,sanhe.360.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,adidasdelanqiudaiyanren.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,ouguan.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,doudizhujiqiao.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,tiancaipukewang.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,zucairenjiusuoshuiruanjianxiazai.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,zhanshenyulechengguanfangwangzhi.baidu.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,yulemenghuitouzhubo.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,huangguanxianjinwangluntan.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,taiyangchengyulezhengwang.360.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,boyulebalidaoyulecheng.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,xiaoshidaidianyingbanyanyuanbiao.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,ttyulechengdengliuwangzhi.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,letiantangbocaiyulepingtai.360.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,zuihaodedubowanglaopingtai.baidu.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,aomennageduchangzhaopinheguan.t.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,ganlanqiubifenwang.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,yazhouhaiwangxingyulecheng.qq.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,zhonghuabangqiudui.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,libobocai.360.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,aomenduchanghuichuqianma.bbs.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,ouboyulechengzhenrenbaijiale.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,renminbiqipaiyouxi.360.macapp.cc,NOERROR,A,157.90.33.73
698547,macapp.cc,xuelv.qq.macapp.cc,NOERROR,A,157.90.33.74
698547,macapp.cc,aomenwangshangduqiu.baidu.macapp.cc,NOERROR,A,157.90.33.74
236101,vocaloid.com,business.vocaloid.com,NXDOMAIN,NONE,
769680,cocinatop.com,baja.cocinatop.com,NXDOMAIN,NONE,
136539,airtime2cash.com,www.pro.airtime2cash.com,NXDOMAIN,NONE,
136539,airtime2cash.com,www.new.airtime2cash.com,NXDOMAIN,NONE,
136539,airtime2cash.com,pro.airtime2cash.com,NOERROR,NOANSWER,
136539,airtime2cash.com,www.cash.airtime2cash.com,NXDOMAIN,NONE,
136539,airtime2cash.com,new.airtime2cash.com,NXDOMAIN,NONE,
136539,airtime2cash.com,cash.airtime2cash.com,NXDOMAIN,NONE,
74268,vprognoze.ru,relay.vprognoze.ru,NXDOMAIN,NONE,
74268,vprognoze.ru,surebets.vprognoze.ru,NXDOMAIN,NONE,
74268,vprognoze.ru,autodiscover.vprognoze.ru,NXDOMAIN,NONE,
74268,vprognoze.ru,owa.vprognoze.ru,NXDOMAIN,NONE,
886876,riseagainsthunger.org,www.events.riseagainsthunger.org,NXDOMAIN,NONE,
886876,riseagainsthunger.org,www.sslvpneast.riseagainsthunger.org,NXDOMAIN,NONE,
886876,riseagainsthunger.org,www.sslvpnwest.riseagainsthunger.org,NXDOMAIN,NONE,
886876,riseagainsthunger.org,tanzania.riseagainsthunger.org,NXDOMAIN,NONE,
224299,rcoko18.ru,pn18.it.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,pn.it.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,cloud.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,pn198.it.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,pn1.it.rcoko18.ru,NXDOMAIN,NONE,
224299,rcoko18.ru,mail.rcoko18.ru,NXDOMAIN,NONE,
913609,omidbank.ir,www.omidbank.ir,SERVFAIL,NONE,
913609,omidbank.ir,pwa.omidbank.ir,SERVFAIL,NONE,
845202,simplifier.cloud,suedzucker.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,terraformtest-qa.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,t-systems.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,janpaulfranz.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,abhishek-dev.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,hf-maschinenbau-qa.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,rancher-kubeadm.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,customersuccess.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,catego.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,release-8.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,abhishektest.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,eval-tibco.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,nagarro-train.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,apetito-dev.simplifier.cloud,NOERROR,A,3.67.127.221
845202,simplifier.cloud,terrakube-k3s.simplifier.cloud,NOERROR,A,18.194.133.76
845202,simplifier.cloud,bardusch.simplifier.cloud,NOERROR,A,52.28.251.139
845202,simplifier.cloud,bopla-qa.simplifier.cloud,NOERROR,A,3.66.95.92
845202,simplifier.cloud,apetito-qa.simplifier.cloud,NOERROR,A,3.122.164.36
845202,simplifier.cloud,ekgroup-dev.simplifier.cloud,NOERROR,A,63.176.20.137
845202,simplifier.cloud,bopla-dev.simplifier.cloud,NOERROR,A,3.66.95.92
845202,simplifier.cloud,pricing-is-qa.simplifier.cloud,NOERROR,A,3.74.172.129
845202,simplifier.cloud,recruiting-kb.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,widgets.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,seele-dev.simplifier.cloud,NOERROR,A,3.74.112.41
845202,simplifier.cloud,wieland.simplifier.cloud,NOERROR,A,3.78.208.123
845202,simplifier.cloud,dorfladen.simplifier.cloud,NOERROR,A,94.130.223.101
845202,simplifier.cloud,terraform-enhancement-qa.simplifier.cloud,NXDOMAIN,NONE,
845202,simplifier.cloud,kvv-dev.simplifier.cloud,NOERROR,A,3.77.121.187
845202,simplifier.cloud,k3s-simplifier.simplifier.cloud,NOERROR,A,18.194.133.76
845202,simplifier.cloud,boss-build-pipeline.simplifier.cloud,NOERROR,A,3.74.172.129
275200,yellowpages.my,staging.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,advertiser.staging.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,api.staging.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,dms.yellowpages.my,NXDOMAIN,NONE,
275200,yellowpages.my,solutions.yellowpages.my,NXDOMAIN,NONE,
